question	answer
周杰伦 80后共同的回忆
许嵩 声音很独特的那位？
刘德华 他的什么？
张杰 我很喜欢张杰的歌哦，推荐你也听听看。
林俊杰 他唱歌超好听的。
张学友 歌神在哪？我要听吻别！
李玉刚 喜欢李玉刚的歌吗？
张靓颖 你是不是想听她的歌了啊？
罗志祥 听说罗志祥家里有超多狗狗的呢。
宋祖英 无敌的女高音，谁能飙得过？
张信哲 你是说那个情歌王子？
小沈阳 让我想起了不差钱。
卓依婷 随便选首好了
张宇 他的那首《给你们》很好听呢。
黄家驹 他的《光辉岁月》、《海阔天空》都很好听。
萧敬腾 走哪哪下雨。
孙燕姿 我最喜欢听她唱的遇见。
李宇春 非常厉害的演员兼歌手。
蔡依林 莫非你是她的粉丝吗？
孙楠 你是在说那个歌手吧？
齐秦 还记得他那首大约在冬季吗？
迪克牛仔 来首那就这样吧
杨丞琳 杨丞琳的歌声很甜。
林宥嘉 我喜欢听他的《说谎》，你呢？
林忆莲 她是《歌手》的冠军哦。
小虎队 把你的心我的心串一串。
胡歌 我的偶像。
王心凌 她的歌不好唱啊！
五月天 我最喜欢阿信，那你呢？
谢霆锋 因为爱，所以爱，感情不必拿来慷慨。
苏打绿 嗯嗯！果断苏打绿！
魏晨 那个帅帅的男明星，你喜欢他？
张翰 你说的可是那位鱼塘主？
那英 那首《默》听起来不错哦！
胡彦斌 要不要我这个百事通给你介绍一下胡彦斌呢
金莎 金莎是你的朋友吗？
张韶涵 唱歌超级好听的小姐姐。
李谷一 想起难忘今宵了吗？
范玮琪 我喜欢听她的好多歌呢。
莫文蔚 你喜欢她吗？美女歌手啊。
刘惜君 我也喜欢刘惜君
后弦 他的专辑《古玩》很不错哦。
谭咏麟 喜欢听他的《说不出再见》吗？
蔡健雅 她的歌还蛮好听呢。
张国荣 呜呜，那可是全民哥哥啊！
李玟 很不错的歌手哦。
黄龄 对原唱黄龄
何炅 你喜欢他吗？
纵贯线 好希望能再看到他们合体演出。
朴树 《平凡之路》可是很动人心弦的哦。
赵薇 你说的是扮演小燕子的那个赵薇吗？
苏醒 苏醒很棒
曹格 我超喜欢曹格
